BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME,TRADE_SESSION_DATE,RECALC_DATE,INSTRUMENT
SNDX,IMOEX,2021-01-04,Индекс МосБиржи,Индекс МосБиржи,3350.51,3306.12,3350.81,3304.17,66875027248.1,0.0,0.0,2.0,17018019126303.139,RUB,5079230865.8227,3,,2021-01-04,,IMOEX
SNDX,IMOEX,2021-01-05,Индекс МосБиржи,Индекс МосБиржи,3359.15,3327.94,3365.32,3301.88,71669719442.85,0.0,0.0,2.0,17061893215819.604,RUB,5079230865.8227,3,,2021-01-05,,IMOEX
SNDX,IMOEX,2021-01-06,Индекс МосБиржи,Индекс МосБиржи,3371.03,3373.37,3380.63,3344.43,71458087084.95,0.0,0.0,2.0,17122246076319.117,RUB,5079230865.8227,3,,2021-01-06,,IMOEX
SNDX,IMOEX,2021-01-08,Индекс МосБиржи,Индекс МосБиржи,3454.82,3390.23,3474.66,3390.23,132105644616.85,0.0,0.0,2.0,17547804162517.74,RUB,5079230865.8227,3,,2021-01-08,,IMOEX
SNDX,IMOEX,2021-01-11,Индекс МосБиржи,Индекс МосБиржи,3482.48,3455.67,3516.9,3436.66,143292474381.8,0.0,0.0,2.0,17688316738936.164,RUB,5079230865.8227,3,,2021-01-11,,IMOEX
SNDX,IMOEX,2021-01-12,Индекс МосБиржи,Индекс МосБиржи,3471.65,3494.6,3520.66,3451.87,104216481364.4,0.0,0.0,2.0,17633297804465.598,RUB,5079230865.8227,3,,2021-01-12,,IMOEX
SNDX,IMOEX,2021-01-13,Индекс МосБиржи,Индекс МосБиржи,3470.26,3487.92,3504.56,3448.94,99616618242.0,0.0,0.0,2.0,17626266188165.09,RUB,5079230865.8227,3,,2021-01-13,,IMOEX
SNDX,IMOEX,2021-01-14,Индекс МосБиржи,Индекс МосБиржи,3490.85,3461.83,3507.71,3439.01,108540789766.35,0.0,0.0,2.0,17730857166885.676,RUB,5079230865.8227,3,,2021-01-14,,IMOEX
SNDX,IMOEX,2021-01-15,Индекс МосБиржи,Индекс МосБиржи,3450.95,3486.02,3509.24,3448.54,104977695775.4,0.0,0.0,2.0,17528152332620.562,RUB,5079230865.8227,3,,2021-01-15,,IMOEX
SNDX,IMOEX,2021-01-18,Индекс МосБиржи,Индекс МосБиржи,3471.92,3440.56,3475.18,3426.11,92072355104.7,0.0,0.0,2.0,17634666165383.184,RUB,5079230865.8227,3,,2021-01-18,,IMOEX
SNDX,IMOEX,2021-01-19,Индекс МосБиржи,Индекс МосБиржи,3443.23,3479.53,3491.93,3439.64,86414655412.55,0.0,0.0,2.0,17488969584733.627,RUB,5079230865.8227,3,,2021-01-19,,IMOEX
SNDX,IMOEX,2021-01-20,Индекс МосБиржи,Индекс МосБиржи,3466.8,3453.54,3482.03,3447.81,75753159519.2,0.0,0.0,2.0,17608678531082.484,RUB,5079230865.8227,3,,2021-01-20,,IMOEX
SNDX,IMOEX,2021-01-21,Индекс МосБиржи,Индекс МосБиржи,3422.67,3481.74,3489.07,3407.22,114924128365.45,0.0,0.0,2.0,17384532464558.1,RUB,5079230865.8227,3,,2021-01-21,,IMOEX
SNDX,IMOEX,2021-01-22,Индекс МосБиржи,Индекс МосБиржи,3382.92,3404.36,3404.36,3362.01,110725951850.1,0.0,0.0,2.0,17182640306287.484,RUB,5079230865.8227,3,,2021-01-22,,IMOEX
SNDX,IMOEX,2021-01-25,Индекс МосБиржи,Индекс МосБиржи,3397.48,3399.28,3425.78,3385.74,106658319745.9,0.0,0.0,2.0,17256571325329.543,RUB,5079230865.8227,3,,2021-01-25,,IMOEX
SNDX,IMOEX,2021-01-26,Индекс МосБиржи,Индекс МосБиржи,3390.76,3384.99,3408.13,3374.1,80262909286.2,0.0,0.0,2.0,17222476228635.475,RUB,5079230865.8227,3,,2021-01-26,,IMOEX
SNDX,IMOEX,2021-01-27,Индекс МосБиржи,Индекс МосБиржи,3343.62,3398.38,3408.64,3333.04,105563451141.95,0.0,0.0,2.0,16983021795853.764,RUB,5079230865.8227,3,,2021-01-27,,IMOEX
SNDX,IMOEX,2021-01-28,Индекс МосБиржи,Индекс МосБиржи,3342.01,3319.16,3359.1,3307.42,91833874030.7,0.0,0.0,2.0,16974834957181.193,RUB,5079230865.8227,3,,2021-01-28,,IMOEX
SNDX,IMOEX,2021-01-29,Индекс МосБиржи,Индекс МосБиржи,3277.08,3335.13,3337.01,3272.53,112862070786.9,0.0,0.0,2.0,16645067691856.492,RUB,5079230865.8227,3,,2021-01-29,,IMOEX
SNDX,IMOEX,2021-02-01,Индекс МосБиржи,Индекс МосБиржи,3291.14,3287.96,3305.91,3268.52,86009081257.05,0.0,0.0,2.0,16716477941478.992,RUB,5079230865.8227,3,,2021-02-01,,IMOEX
SNDX,IMOEX,2021-02-02,Индекс МосБиржи,Индекс МосБиржи,3360.25,3324.24,3366.13,3321.7,98441733596.85,0.0,0.0,2.0,17067476302938.854,RUB,5079230865.8227,3,,2021-02-02,,IMOEX
SNDX,IMOEX,2021-02-03,Индекс МосБиржи,Индекс МосБиржи,3343.46,3351.99,3376.83,3332.5,79650602206.9,0.0,0.0,2.0,16982192674131.148,RUB,5079230865.8227,3,,2021-02-03,,IMOEX
SNDX,IMOEX,2021-02-04,Индекс МосБиржи,Индекс МосБиржи,3372.0,3356.23,3384.48,3351.94,88156146300.1,0.0,0.0,2.0,17127146192940.422,RUB,5079230865.8227,3,,2021-02-04,,IMOEX
SNDX,IMOEX,2021-02-05,Индекс МосБиржи,Индекс МосБиржи,3392.73,3396.97,3406.22,3368.58,86654101000.55,0.0,0.0,2.0,17232469191485.635,RUB,5079230865.8227,3,,2021-02-05,,IMOEX
SNDX,IMOEX,2021-02-08,Индекс МосБиржи,Индекс МосБиржи,3445.9,3412.97,3448.79,3412.97,79666285042.8,0.0,0.0,2.0,17502502031455.205,RUB,5079230865.8227,3,,2021-02-08,,IMOEX
SNDX,IMOEX,2021-02-09,Индекс МосБиржи,Индекс МосБиржи,3426.86,3461.15,3466.51,3424.39,100583840172.2,0.0,0.0,2.0,17405835878122.59,RUB,5079230865.8227,3,,2021-02-09,,IMOEX
SNDX,IMOEX,2021-02-10,Индекс МосБиржи,Индекс МосБиржи,3399.66,3437.76,3447.05,3393.98,88964246446.15,0.0,0.0,2.0,17267655855080.582,RUB,5079230865.8227,3,,2021-02-10,,IMOEX
SNDX,IMOEX,2021-02-11,Индекс МосБиржи,Индекс МосБиржи,3414.32,3405.33,3416.4,3390.22,56566035051.3,0.0,0.0,2.0,17342128722835.785,RUB,5079230865.8227,3,,2021-02-11,,IMOEX
SNDX,IMOEX,2021-02-12,Индекс МосБиржи,Индекс МосБиржи,3427.08,3403.07,3427.08,3343.82,85053189978.6,0.0,0.0,2.0,17406917676400.686,RUB,5079230865.8227,3,,2021-02-12,,IMOEX
SNDX,IMOEX,2021-02-15,Индекс МосБиржи,Индекс МосБиржи,3481.9,3461.94,3483.34,3455.95,78791006869.65,0.0,0.0,2.0,17685397049628.914,RUB,5079230865.8227,3,,2021-02-15,,IMOEX
SNDX,IMOEX,2021-02-16,Индекс МосБиржи,Индекс МосБиржи,3495.26,3502.04,3510.77,3475.58,88625602257.45,0.0,0.0,2.0,17753250922959.02,RUB,5079230865.8227,3,,2021-02-16,,IMOEX
SNDX,IMOEX,2021-02-17,Индекс МосБиржи,Индекс МосБиржи,3436.8,3491.81,3505.19,3431.83,105793123095.2,0.0,0.0,2.0,17456289719163.738,RUB,5079230865.8227,3,,2021-02-17,,IMOEX
SNDX,IMOEX,2021-02-18,Индекс МосБиржи,Индекс МосБиржи,3400.17,3451.69,3461.15,3395.98,89976816783.6,0.0,0.0,2.0,17270245871655.635,RUB,5079230865.8227,3,,2021-02-18,,IMOEX
SNDX,IMOEX,2021-02-19,Индекс МосБиржи,Индекс МосБиржи,3457.68,3398.4,3460.85,3380.89,93406887931.0,0.0,0.0,2.0,17562379180245.148,RUB,5079230865.8227,3,,2021-02-19,,IMOEX
SNDX,IMOEX,2021-02-20,Индекс МосБиржи,Индекс МосБиржи,3446.32,3454.43,3455.13,3435.42,25142822290.55,0.0,0.0,2.0,17504654638361.213,RUB,5079230865.8227,3,,2021-02-20,,IMOEX
SNDX,IMOEX,2021-02-22,Индекс МосБиржи,Индекс МосБиржи,3433.93,3447.57,3456.26,3415.37,88526795000.8,0.0,0.0,2.0,17441709732566.35,RUB,5079230865.8227,3,,2021-02-22,,IMOEX
SNDX,IMOEX,2021-02-24,Индекс МосБиржи,Индекс МосБиржи,3385.48,3426.07,3433.09,3385.01,110148551893.05,0.0,0.0,2.0,17195659417667.428,RUB,5079230865.8227,3,,2021-02-24,,IMOEX
SNDX,IMOEX,2021-02-25,Индекс МосБиржи,Индекс МосБиржи,3409.76,3412.16,3429.2,3391.77,132027291741.7,0.0,0.0,2.0,17318948004802.672,RUB,5079230865.8227,3,,2021-02-25,,IMOEX
SNDX,IMOEX,2021-02-26,Индекс МосБиржи,Индекс МосБиржи,3346.64,3354.45,3385.74,3332.32,153443917962.4,0.0,0.0,2.0,16998362844023.775,RUB,5079230865.8227,3,,2021-02-26,,IMOEX
SNDX,IMOEX,2021-03-01,Индекс МосБиржи,Индекс МосБиржи,3386.16,3369.68,3393.93,3354.09,73971816241.8,0.0,0.0,2.0,17199096393960.914,RUB,5079230865.8227,3,,2021-03-01,,IMOEX
SNDX,IMOEX,2021-03-02,Индекс МосБиржи,Индекс МосБиржи,3410.1,3380.35,3418.11,3375.48,85392732642.35,0.0,0.0,2.0,17320690802931.826,RUB,5079230865.8227,3,,2021-03-02,,IMOEX
SNDX,IMOEX,2021-03-03,Индекс МосБиржи,Индекс МосБиржи,3416.04,3432.88,3450.76,3408.47,91738079532.4,0.0,0.0,2.0,17350845475513.639,RUB,5079230865.8227,3,,2021-03-03,,IMOEX
SNDX,IMOEX,2021-03-04,Индекс МосБиржи,Индекс МосБиржи,3397.56,3403.01,3416.04,3366.76,103950221289.6,0.0,0.0,2.0,17256998856842.016,RUB,5079230865.8227,3,,2021-03-04,,IMOEX
SNDX,IMOEX,2021-03-05,Индекс МосБиржи,Индекс МосБиржи,3414.13,3378.68,3432.98,3367.33,136317009466.9,0.0,0.0,2.0,17341139829461.414,RUB,5079230865.8227,3,,2021-03-05,,IMOEX
SNDX,IMOEX,2021-03-09,Индекс МосБиржи,Индекс МосБиржи,3478.72,3426.48,3491.12,3426.33,137435480187.0,0.0,0.0,2.0,17669231423946.59,RUB,5079230865.8227,3,,2021-03-09,,IMOEX
SNDX,IMOEX,2021-03-10,Индекс МосБиржи,Индекс МосБиржи,3463.06,3476.91,3514.35,3455.42,102035182953.05,0.0,0.0,2.0,17589701056663.49,RUB,5079230865.8227,3,,2021-03-10,,IMOEX
SNDX,IMOEX,2021-03-11,Индекс МосБиржи,Индекс МосБиржи,3508.51,3481.26,3508.51,3472.4,81997215189.75,0.0,0.0,2.0,17820532849747.656,RUB,5079230865.8227,3,,2021-03-11,,IMOEX
SNDX,IMOEX,2021-03-12,Индекс МосБиржи,Индекс МосБиржи,3539.5,3515.44,3539.5,3502.37,78834659383.3,0.0,0.0,2.0,17977937852959.938,RUB,5079230865.8227,3,,2021-03-12,,IMOEX
SNDX,IMOEX,2021-03-15,Индекс МосБиржи,Индекс МосБиржи,3584.49,3562.69,3596.31,3558.62,110139095399.25,0.0,0.0,2.0,18206453280833.387,RUB,5079230865.8227,3,,2021-03-15,,IMOEX
SNDX,IMOEX,2021-03-16,Индекс МосБиржи,Индекс МосБиржи,3589.83,3600.68,3602.18,3544.29,125278624707.95,0.0,0.0,2.0,18233587671051.902,RUB,5079230865.8227,3,,2021-03-16,,IMOEX
SNDX,IMOEX,2021-03-17,Индекс МосБиржи,Индекс МосБиржи,3507.91,3579.06,3587.24,3498.17,126387599545.2,0.0,0.0,2.0,17817498469225.55,RUB,5079230865.8227,3,,2021-03-17,,IMOEX
SNDX,IMOEX,2021-03-18,Индекс МосБиржи,Индекс МосБиржи,3504.85,3533.69,3551.3,3494.99,116916933603.15,0.0,0.0,2.0,17801953173824.81,RUB,5079230865.8227,3,,2021-03-18,,IMOEX
SNDX,IMOEX,2021-03-19,Индекс МосБиржи,Индекс МосБиржи,3475.26,3473.84,3495.98,3448.99,124592694485.05,0.0,0.0,2.0,17645059637239.176,RUB,5077336065.2682,3,,2021-03-19,,IMOEX
SNDX,IMOEX,2021-03-22,Индекс МосБиржи,Индекс МосБиржи,3489.07,3479.06,3498.17,3469.09,73803912299.75,0.0,0.0,2.0,17715163834291.77,RUB,5077336065.2682,3,,2021-03-22,,IMOEX
SNDX,IMOEX,2021-03-23,Индекс МосБиржи,Индекс МосБиржи,3467.21,3481.11,3483.34,3450.98,87327300362.15,0.0,0.0,2.0,17604166569781.6,RUB,5077336065.2682,3,,2021-03-23,,IMOEX
