BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE,TICKER
TQBR,2021-01-04,ГАЗПРОМ ао,GAZP,82243,11911400029.6,212.71,211.64,216.63,215.73,214.78,212.71,55458730,215.21,215.21,215.73,9263024605.5,9263024605.5,9263024605.5,0,3,SUR,-0.13,,GAZP
TQBR,2021-01-05,ГАЗПРОМ ао,GAZP,71350,10444594368.1,213.2,210.22,215.38,214.39,213.43,215.32,48937810,213.28,213.28,214.39,9466253616.2,9466253616.2,9466253616.2,0,3,SUR,1.23,,GAZP
TQBR,2021-01-06,ГАЗПРОМ ао,GAZP,59269,10303900926.8,215.5,213.07,216.8,215.35,214.91,214.38,47945190,214.9,214.9,215.35,9116110289.2,9116110289.2,9116110289.2,0,3,SUR,-0.44,,GAZP
TQBR,2021-01-08,ГАЗПРОМ ао,GAZP,137279,22518806797.5,217.12,217.0,226.24,224.05,222.86,225.49,101044690,222.75,222.75,224.05,21247836361.1,21247836361.1,21247836361.1,0,3,SUR,5.18,,GAZP
TQBR,2021-01-11,ГАЗПРОМ ао,GAZP,147615,25599191060.6,225.17,221.81,231.0,227.4,227.13,227.6,112708870,227.11,227.11,227.4,24436552084.8,24436552084.8,24436552084.8,0,3,SUR,0.94,,GAZP
TQBR,2021-01-12,ГАЗПРОМ ао,GAZP,87187,14722862365.4,229.0,225.66,231.44,227.8,228.62,228.69,64400230,228.66,228.66,227.8,13821489857.5,13821489857.5,13821489857.5,0,3,SUR,0.48,,GAZP
TQBR,2021-01-13,ГАЗПРОМ ао,GAZP,84168,13962971680.6,229.29,225.2,230.35,227.78,228.38,226.8,61137970,228.45,228.45,227.78,13170254878.8,13170254878.8,13170254878.8,0,3,SUR,-0.83,,GAZP
TQBR,2021-01-14,ГАЗПРОМ ао,GAZP,83111,13684127731.1,226.15,223.2,229.57,228.08,227.24,228.86,60219960,227.13,227.13,228.08,12906404505.4,12906404505.4,12906404505.4,0,3,SUR,0.91,,GAZP
TQBR,2021-01-15,ГАЗПРОМ ао,GAZP,81026,12503256968.3,227.5,226.0,230.7,226.0,228.12,226.5,54810260,228.22,228.22,226.0,11718593465.2,11718593465.2,11718593465.2,0,3,SUR,-1.03,,GAZP
TQBR,2021-01-18,ГАЗПРОМ ао,GAZP,101127,15588792290.0,225.55,221.34,228.5,228.25,225.34,226.88,69177560,225.24,225.24,228.25,14602906717.5,14602906717.5,14602906717.5,0,3,SUR,0.17,,GAZP
TQBR,2021-01-19,ГАЗПРОМ ао,GAZP,92097,15034911980.8,227.65,223.0,228.85,223.02,225.49,223.15,66678920,225.68,225.68,223.02,13540934295.8,13540934295.8,13540934295.8,0,3,SUR,-1.64,,GAZP
TQBR,2021-01-20,ГАЗПРОМ ао,GAZP,69735,11536100202.9,223.0,221.55,225.78,224.37,224.5,224.3,51387730,224.51,224.51,224.37,11039572524.2,11039572524.2,11039572524.2,0,3,SUR,0.52,,GAZP
TQBR,2021-01-21,ГАЗПРОМ ао,GAZP,118091,16869428819.3,224.38,217.22,224.96,218.3,219.87,217.28,76728280,220.01,220.01,218.3,15784715036.3,15784715036.3,15784715036.3,0,3,SUR,-3.13,,GAZP
TQBR,2021-01-22,ГАЗПРОМ ао,GAZP,119545,20187171705.9,216.5,210.5,216.5,214.84,212.91,215.49,94814510,212.8,212.8,214.84,19214621021.3,19214621021.3,19214621021.3,0,3,SUR,-0.82,,GAZP
TQBR,2021-01-25,ГАЗПРОМ ао,GAZP,94070,16190253968.8,216.9,214.53,219.66,217.12,217.12,218.68,74569300,217.09,217.09,217.12,14933514299.7,14933514299.7,14933514299.7,0,3,SUR,1.48,,GAZP
TQBR,2021-01-26,ГАЗПРОМ ао,GAZP,62938,9881820467.7,216.52,215.71,220.29,218.62,218.55,218.8,45214780,218.55,218.55,218.62,9506278570.9,9506278570.9,9506278570.9,0,3,SUR,0.05,,GAZP
TQBR,2021-01-27,ГАЗПРОМ ао,GAZP,74127,13001699078.5,219.49,216.44,222.0,217.29,219.25,217.4,59298790,219.36,219.36,217.29,12070904598.2,12070904598.2,12070904598.2,0,3,SUR,-0.64,,GAZP
TQBR,2021-01-28,ГАЗПРОМ ао,GAZP,68856,11379411221.2,215.99,214.26,219.49,217.38,216.97,217.7,52428850,217.02,217.02,217.38,10680673569.4,10680673569.4,10680673569.4,0,3,SUR,0.14,,GAZP
TQBR,2021-01-29,ГАЗПРОМ ао,GAZP,74070,14311768881.5,216.7,212.47,216.75,214.42,214.32,212.83,66780470,214.43,214.43,214.42,13152670616.7,13152670616.7,13152670616.7,0,3,SUR,-2.24,,GAZP
TQBR,2021-02-01,ГАЗПРОМ ао,GAZP,47462,8409217608.8,214.7,212.24,214.87,213.03,213.59,214.66,39370050,213.57,213.57,213.03,7806043007.1,7806043007.1,7806043007.1,0,3,SUR,0.86,,GAZP
TQBR,2021-02-02,ГАЗПРОМ ао,GAZP,91898,16903197803.5,215.6,213.25,219.74,216.7,216.49,214.42,78073300,216.68,216.68,216.7,14998589383.4,14998589383.4,14998589383.4,0,3,SUR,-0.11,,GAZP
TQBR,2021-02-03,ГАЗПРОМ ао,GAZP,62634,9955062186.5,215.42,213.79,218.42,217.12,216.28,218.1,46028500,216.18,216.18,217.12,9152968600.2,9152968600.2,9152968600.2,0,3,SUR,1.72,,GAZP
TQBR,2021-02-04,ГАЗПРОМ ао,GAZP,65599,10518253696.4,218.7,216.88,221.4,218.08,219.43,219.79,47943720,219.41,219.41,218.08,9950086075.8,9950086075.8,9950086075.8,0,3,SUR,0.77,,GAZP
TQBR,2021-02-05,ГАЗПРОМ ао,GAZP,65024,9325129085.6,220.68,219.0,222.21,221.86,220.87,222.01,42219420,220.81,220.81,221.86,8712580624.0,8712580624.0,8712580624.0,0,3,SUR,1.01,,GAZP
TQBR,2021-02-08,ГАЗПРОМ ао,GAZP,91549,15194064808.3,223.04,223.0,228.0,226.75,226.08,228.0,67207330,226.01,226.01,226.75,14171458935.1,14171458935.1,14171458935.1,0,3,SUR,2.7,,GAZP
TQBR,2021-02-09,ГАЗПРОМ ао,GAZP,81387,13838689060.2,229.0,225.8,229.49,227.1,228.2,227.73,60643590,228.29,228.29,227.1,12900923268.1,12900923268.1,12900923268.1,0,3,SUR,-0.12,,GAZP
TQBR,2021-02-10,ГАЗПРОМ ао,GAZP,63734,9420371594.3,227.98,221.8,228.29,222.87,224.83,223.24,41902370,224.95,224.95,222.87,8624636076.5,8624636076.5,8624636076.5,0,3,SUR,-1.97,,GAZP
TQBR,2021-02-11,ГАЗПРОМ ао,GAZP,51950,7669793668.8,223.49,220.73,223.67,222.45,221.98,221.35,34551030,222.01,222.01,222.45,7152304293.7,7152304293.7,7152304293.7,0,3,SUR,-0.85,,GAZP
TQBR,2021-02-12,ГАЗПРОМ ао,GAZP,95615,15356026627.6,220.6,216.77,227.47,226.0,221.72,226.71,69245440,221.14,221.14,226.0,13572938002.5,13572938002.5,13572938002.5,0,3,SUR,2.42,,GAZP
TQBR,2021-02-15,ГАЗПРОМ ао,GAZP,84145,13694282339.9,228.49,226.7,230.0,228.3,228.44,229.22,59946680,228.41,228.41,228.3,12799753872.7,12799753872.7,12799753872.7,0,3,SUR,1.11,,GAZP
TQBR,2021-02-16,ГАЗПРОМ ао,GAZP,100839,19878960751.2,230.0,227.57,233.22,232.4,231.05,232.46,86023550,231.01,231.01,232.4,18689733891.2,18689733891.2,18689733891.2,0,3,SUR,1.41,,GAZP
TQBR,2021-02-17,ГАЗПРОМ ао,GAZP,87368,14812190698.8,232.32,225.33,233.35,226.77,229.46,229.14,64553410,229.63,229.63,226.77,13493896896.7,13493896896.7,13493896896.7,0,3,SUR,-1.43,,GAZP
TQBR,2021-02-18,ГАЗПРОМ ао,GAZP,66652,9898673768.2,229.0,224.01,229.0,224.74,226.06,224.47,43788250,226.14,226.14,224.74,8993073884.9,8993073884.9,8993073884.9,0,3,SUR,-2.04,,GAZP
TQBR,2021-02-19,ГАЗПРОМ ао,GAZP,64124,10060508664.9,224.01,221.1,226.26,226.17,224.07,226.0,44899380,223.94,223.94,226.17,9388118183.5,9388118183.5,9388118183.5,0,3,SUR,0.68,,GAZP
