BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION,CALLOPTIONDATE,CALLOPTIONYIELD,CALLOPTIONDURATION,PUTOPTIONDATE,DATEYIELDFROMISSUER,TRADE_SESSION_DATE,ZSPREAD,ZSPREADATWAPRICE,BONDTYPE,BONDSUBTYPE,ISIN
TQOB,2021-01-04,ОФЗ 26233,SU26233RMFS5,1011,66415552.09,97.9,98.399,98.25,98.25,25.41,98.204,6.38,97.989,67630,98.204,98.204,98.25,66415552.09,66415552.09,66415552.09,2035-07-18,3485.0,6.39,,,6.1,30.42,,2021-01-04,1000,SUR,,,,,RUB,3,,,,,,,,,,,RU000A101F94
TQOB,2021-01-05,ОФЗ 26233,SU26233RMFS5,770,54701771.1,98.2,98.64,98.64,98.64,25.57,98.473,6.34,98.38,55550,98.473,98.473,98.64,54701771.1,54701771.1,54701771.1,2035-07-18,3487.0,6.36,,,6.1,30.42,,2021-01-05,1000,SUR,,,,,RUB,3,,,,,,,,,,,RU000A101F94
TQOB,2021-01-06,ОФЗ 26233,SU26233RMFS5,693,63553322.46,98.44,98.76,98.623,98.623,25.74,98.557,6.34,98.645,64484,98.557,98.557,98.623,63553322.46,63553322.46,63553322.46,2035-07-18,3487.0,6.35,,,6.1,30.42,,2021-01-06,1000,SUR,,,,,RUB,3,,,,,,,,,,,RU000A101F94
TQOB,2021-01-08,ОФЗ 26233,SU26233RMFS5,793,30807822.93,98.15,98.74,98.341,98.341,26.07,98.384,6.37,98.74,31314,98.384,98.384,98.341,30807822.93,30807822.93,30807822.93,2035-07-18,3483.0,6.37,,,6.1,30.42,,2021-01-08,1000,SUR,,,,,RUB,3,,,,,,,,,,,RU000A101F94
TQOB,2021-01-11,ОФЗ 26233,SU26233RMFS5,2551,217210925.15,97.33,98.49,97.39,97.39,26.58,97.902,6.48,98.301,222446,97.647,97.647,97.39,217210925.15,217210925.15,217210925.15,2035-07-18,3476.0,6.42,,,6.1,30.42,,2021-01-11,1000,SUR,,,,,RUB,3,,,,,,,,,,,RU000A101F94
TQOB,2021-01-12,ОФЗ 26233,SU26233RMFS5,1514,368739251.38,97.227,98.249,97.399,97.399,26.74,97.258,6.48,98.249,378913,97.315,97.315,97.399,368739251.38,368739251.38,368739251.38,2035-07-18,3467.0,6.5,,,6.1,30.42,,2021-01-12,1000,SUR,,,,,RUB,3,,,,,,,,,,,RU000A101F94
TQOB,2021-01-13,ОФЗ 26233,SU26233RMFS5,1696,184567601.37,96.9,97.7,97.0,97.0,26.91,97.16,6.52,97.225,190079,97.1,97.1,97.0,184567601.37,184567601.37,184567601.37,2035-07-18,3465.0,6.51,,,6.1,30.42,,2021-01-13,1000,SUR,,,,,RUB,3,,,,,,,,,,,RU000A101F94
TQOB,2021-01-14,ОФЗ 26233,SU26233RMFS5,1668,330578731.61,96.696,97.474,96.799,96.799,27.08,96.989,6.55,97.474,340980,96.95,96.95,96.799,330578731.61,330578731.61,330578731.61,2035-07-18,3462.0,6.53,,,6.1,30.42,,2021-01-14,1000,SUR,,,,,RUB,3,,,,,,,,,,,RU000A101F94
TQOB,2021-01-15,ОФЗ 26233,SU26233RMFS5,2699,579508180.73,95.868,97.436,95.998,95.998,27.24,96.359,6.64,97.436,601861,96.286,96.286,95.998,579508180.73,579508180.73,579508180.73,2035-07-18,3455.0,6.6,,,6.1,30.42,,2021-01-15,1000,SUR,,,,,RUB,3,,,,,,,,,,,RU000A101F94
TQOB,2021-01-18,ОФЗ 26233,SU26233RMFS5,1481,171374395.53,95.899,96.77,95.949,95.949,27.75,95.961,6.64,96.44,178591,95.959,95.959,95.949,171374395.53,171374395.53,171374395.53,2035-07-18,3448.0,6.64,,,6.1,30.42,,2021-01-18,1000,SUR,,,,,RUB,3,,,,,,,,,,,RU000A101F94
