factor,t_df,t_scale,t_loc,AIC_t,AIC_norm,t_better
RatePC1,3.0,0.002376733713773846,2.8735239776722974e-05,-10661.190657817653,-9124.748564419297,True
RatePC2,3.0,0.0015665643522194883,4.546122806424873e-05,-11784.561859102563,-11372.305884091227,True
RatePC3,3.0,0.001090531692811391,-1.8427147733450807e-05,-12715.903750984548,-12246.549592464922,True
ST_GAZP,3.0,0.012919501587745293,-0.00044737167190760373,-6422.27746309896,-5593.489813759059,True
ST_GMKN,3.2783095446983035,0.013443296398493088,-0.0006263852500444444,-6514.438683985742,-6307.790754305262,True
ST_LKOH,3.0,0.011686208471652786,0.00011027660313993749,-6759.198620343636,-6303.089728514268,True
ST_MGNT,3.0433396612214403,0.01312805719864963,-0.0004818429978540982,-6508.573764783852,-6041.3250025683,True
ST_NVTK,3.3125847137202618,0.015483584660176792,-0.0007087104770703973,-6164.382212582416,-5823.806008482786,True
ST_PLZL,3.4331905201897737,0.01408988811166436,9.733561839109803e-05,-6433.643587565668,-6091.2869489571685,True
ST_ROSN,3.133811169084204,0.012744637301595096,0.0002664416132972338,-6610.510680926639,-5889.880521738302,True
ST_SBER,3.0,0.011389760533344766,0.00040884013881441265,-6744.993820698501,-5884.502355231898,True
ST_SNGS,3.0,0.014102476805052302,-0.0007153203797470259,-6302.259434065456,-5772.704123366672,True
ST_TATN,3.0,0.013000771403309644,0.00015162015706300747,-6506.129646459065,-5958.966272509948,True
FX_USD,3.0,0.006556909671050191,2.830551716033482e-05,-8048.488834428218,-7068.802797989301,True
FX_EUR,3.0,0.006955303775609184,8.242950084968542e-05,-7933.875302077184,-7059.561398783255,True
