date,VaR_total,PnL_total,breach_total,VaR_bonds,PnL_bonds,breach_bonds,VaR_stocks,PnL_stocks,breach_stocks,VaR_fx,PnL_fx,breach_fx
2025-01-03,5534493.403648704,-946433.2934763528,0,1036330.6328315529,-745044.0169140294,0,392744.20195367216,-201389.27656232342,0,5474222.420385585,0.0,0
2025-01-06,6028876.845446838,286896.0350356821,0,965867.5889768758,310840.03202736855,0,398370.23215442116,-23943.996991686483,0,6032378.762467879,0.0,0
2025-01-08,6085798.339909549,-22571.059207601942,0,1020592.5662708778,-52907.86577106798,0,389361.4630116167,30336.80656346604,0,6107605.7641733745,0.0,0
2025-01-09,5474451.931312927,-1470051.7905101795,0,969026.2820175844,-885798.7201608717,0,375892.1218189471,-230347.32868144836,0,5513570.633817231,-353905.74166785926,0
2025-01-10,5776894.997264018,-571745.8748566997,0,949738.7493968563,-325837.55651983904,0,406000.17087135755,162981.31812382466,0,5701223.453626587,-408889.6364606853,0
2025-01-13,5725350.958144098,716437.1649866218,0,966050.6461511835,71347.03627506454,0,383383.0676191124,48131.0921626631,0,5707827.283710078,596959.0365488941,0
2025-01-14,5611593.506258836,1905066.523756742,0,956846.5441528077,-181379.87170777415,0,393948.47561739,46630.3904647989,0,5703897.825735616,2039816.0049997172,0
2025-01-15,5897527.480481689,-873147.8802311836,0,998239.8461429881,-215281.93175264,0,388813.8473495922,94635.90664588862,0,5832501.231710397,-752501.8551244322,0
2025-01-16,5744540.068218098,-640780.6261241979,0,971837.5738087439,25821.364018365766,0,382901.7473577355,26450.781997748643,0,5759007.648680121,-693052.7721403122,0
2025-01-17,5847872.358761396,-1091121.0775092524,0,957223.048497229,-366158.52880637517,0,400524.1674605448,132770.42048491948,0,5686618.776124677,-857732.9691877967,0
2025-01-20,5701799.0275676185,-268923.6807088116,0,1003630.1263754567,122859.09072610957,0,394676.2136963569,-122958.59516374485,0,5837916.625165431,-268824.1762711763,0
2025-01-21,5826576.56980547,-3892852.383960537,0,980808.3664279842,-413631.564628768,0,394288.08589459525,187059.2511578446,0,5940853.636033684,-3666280.070489614,0
2025-01-22,5872805.068906087,-1670847.516110218,0,991233.9454843609,-20822.181965247655,0,397727.21307475364,41268.50335538123,0,5920107.6506603435,-1691293.8375003515,0
2025-01-23,5583608.770836136,1138724.8935166837,0,987140.5282448225,-170175.30597564502,0,401006.90925040666,71064.69657705438,0,5507911.7004258325,1237835.5029152744,0
2025-01-24,5687914.821749598,-1491748.7201254242,0,995008.5631729965,-214223.82258792227,0,399889.12560449936,21721.54958103867,0,5741966.073290537,-1299246.4471185405,0
